# 参考音频配置文件
# 格式：style|编号|文本
# 小于3秒的音频不要加入
lazy|11|差不多了吧，老铁。
lazy|12|哎，真是个会玩的姑娘啊。
lazy|14|没干劲儿嘛，是啊，不过，那也要分对什么人？
lazy|17|哎，你会的还真多呀。
lazy|19|哎，就说没那么容易嘛。
lazy|20|竟然完全扛不动，真是尴尬呀。
lazy|22|哎，讨厌，不能跟你这种人做朋友啊，没秘密呀。
lazy|23|唉，我是抱着侥幸心理，希望能在你施展遁甲之前胜了你，哼，是我犯二喽。
lazy|35|啊，算了，本就不该来。
lazy|59|再找死我可不拦你啊。
lazy|60|哎，妹子，让我长了不少姿势。
lazy|62|一开始我以为他也是诸葛卿的脑残粉，可总觉得哪儿不对劲。
lazy|77|哎，其实你们怎么样跟我有什么关系呀？世道再坏，我也能保全自己和家人独善其身。
lazy|78|所以其实我不该来的，可我为什么又来了呢？大致有两个原因。
lazy|80|二、我来，就是给你多一个选择，一个放弃的选择。
lazy|96|对，这事儿不用算也知道，来这里，对我没有一丝好处。
lazy|99|我本来也不想知道的嘛，那种陈芝麻烂谷子的事儿，知道了又能怎么样
lazy|100|哎，我是一口都吃不下了，怎么样？张楚兰，能选了吗？
lazy|109|什么人呐？还以为能给我送机票呢。
lazy|118|嘿嘿，那是那是，老天师，我也不想没事给自己找事儿。
lazy|108|你这货居，然用听风萦偷听。
lazy|129|还是这么狗血呀，这个家
serious|26|既然大家都是术士，就没必要像其他人斗得那么辛苦了。
serious|28|术士就要顺势而为，诸葛卿，我没有半点侮辱你的意思。
serious|40|身在这个奇门局中，我即是方位，我即是吉凶。
serious|41|时间、空间、四盘的生刻都由我来制定。
serious|42|为什么不能？时间就是计算万物变化的计量单位而已
serious|43|操纵了万物的变化，就等于操纵了时间，我能操纵的就是这奇门局中的变化。
serious|44|现在这里的引力已与阵外不同，它让小石头落地的时间，会是一分钟。
serious|45|现在虽是谷雨，但这局的温度和湿度，都被我改成了大水。
serious|46|诸葛老兄，你说术士就是趋吉避凶，这话有理，但不全对。
serious|47|你以为你先祖诸葛武侯为什么会被人称为最伟大的异人？
serious|48|作为一个修为极高的术士，真要趋吉避凶，就该在笼中好好待着。
serious|49|以他的修为，更进一步也不是难事。
serious|50|可是他却放弃了作为一个修者该坚守的一切，就算逆大势而行，也要投身乱世。
serious|51|只为了去救那个明知已无可救药的天下。
serious|52|为了那个天下，情愿去和天理，和大事对抗。
serious|54|若是一味趋吉避凶，顺势而为，被天理束缚，那又何必明理？
serious|55|反正不管懂不懂那规则，你我都和一般人一样被束缚着，不是吗。
serious|56|其他异人都是因为自身过失止步不前，武侯却因为放不下天下苍生，才没能更进一步。
serious|57|在我心中，他和吕祖、三丰真人，这些传说中羽化的祖师一样，是我最敬佩的前辈。
serious|70|过去无可挽回，未来可以改变。
serious|71|再牛的术士也沾不出过去的事，能测算的只是几种未来的可能。
serious|72|即便是这样，也算是天理难容，所以，占卜，于术士自身无益。
serious|73|至于多大的损伤，那就要看得到的信息对世界产生了多大的影响。
serious|74|比如我算出下期双色球的号码，损伤就微乎其微。因为那只改变了某个爆发后的人选。
serious|75|而这之前，我在武当算了算这次大会和关于你的事。
serious|76|只是了解了一个模糊的大概，我差点死了。
serious|81|不，大会的事儿怎么样都无所谓，我给你提供的选择，是放弃追求真相。
serious|83|唉，真相你确实很想要，车子房的女人你也想要，追求这些无可厚非。
serious|84|不过一旦满足了某一项，人就会去追求下一项。
serious|85|可以追求的东西太多了，人才会忘了自己最想要什么。
serious|86|我说的是一直求而不得，一旦得到，要为了他舍弃一切的东西，那，才配称为最想要。
serious|87|真常应物，真常得性，常应常静，常清静矣
serious|89|所以为了得到它，就必须放弃些什么。
serious|90|这就牵扯到另一个概念了，我管它叫，命运的权重。
serious|91|这个世界没有一刻是静止的，个体变化的总和，就是整个世界的变化。
serious|92|我吃掉几根咸菜，同样也是世界变化的一部分，但是个体对世界的影响程度是不一样的。
serious|93|有人殚精竭虑，却掀不起风浪。有人一念之差，却让世界天翻地覆。
serious|94|这就是命运权重比例不同，而张楚岚。
serious|95|你这个人的权重比例很高，你的选择，会改变很多人的命运。
casual|2|武当派，王也，施主您怎么称呼？
casual|6|怪不得明明应该打不到，胳膊却突然变长了一样，而且你这不只是通背拳吧。
casual|7|我懂了，通背胆手，这是把气当成石头一样丢出去的功夫。
casual|8|不过你在通背之中又加入了佛门的金刚之力，所以你能丢出像炸弹一样的劲力。
casual|9|爆破的距离和时机你都能掌握，怪不得我的柔劲儿粘不到你的劲力。
casual|13|好歹是揉上了。
casual|18|昆仑。
casual|21|多谢你啊，周可卿，要不是你手下留情，刚才那一击我已经废了。
casual|27|我给你时间，你所谓的趋吉避凶，该怎么选？
casual|30|坤字，土河车。
casual|32|就此打住吧，你不是看到自己的卦象了吗？
casual|33|膻中大穴受制，这样就够了。
casual|34|这就对了嘛。
casual|36|来了清静日子也就到头了，诸葛卿，你看好了。
casual|37|诸葛卿，之前你确实方寸乱了。
casual|38|既然知道我是个术士，为什么注意力还只集中在我们身上？好好看看这一局。
casual|58|跟你说够多了别不知足啊，你可以自己算哪。
casual|61|乱金拓不管用，土河车也困不住。
casual|64|没事儿，就这么比吧。
casual|65|是比呀，这罗天大教也没规定非得比打架呀。
casual|66|咱们都是道士，又不是战士，我跟这货比谁能吃，不行吗？
casual|69|先告诉你一个基本观念。
casual|79|一、我不来，老天师和天师府的声誉会严重受损。这我不想。
casual|107|小白，回去记得多练练胆儿啊。
casual|127|六味地黄，枸杞，海马肝，袋鼠精。
casual|134|杜哥，你联络一下金媛媛他们呗。
casual|135|我就是想让老金帮忙攒个局，弄点钱。
question|10|确实有两把刷子，你老爹把你调教的不错。
question|24|诸葛卿，你败过吗？
question|25|那你觉得你能接受自己失败吗？
question|31|诸葛卿，你觉得怎么样？
question|39|懂了吗？和其他术士踏方位巡吉凶不同。
question|68|张楚岚，知道占卜是怎么一回事吗？
question|97|通天箓，原来这东西，一直在陆景老前辈手里。
question|98|想知道当年的事儿，还用得着找老天？您直接告诉我不就得了吗？
question|101|没看到那盆里的馒头吗？这小子已经赢了。
question|102|谈不上，我是来给你选择的，不能替你选。
question|106|你们兄弟准备回去了吗？
question|122|我不是已经被武当除名了吗
question|124|杜哥，趁着不堵车，能不能再开快点儿？
